Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
SARS-CoV-2 RNA polymerase as target for antiviral therapy,"Buonaguro, Luigi; Tagliamonte, Maria; Tornesello, Maria Lina; Buonaguro, Franco M.","A new human coronavirus named SARS-CoV-2 was identified in several cases of acute respiratory syndrome in Wuhan, China in December 2019. On March 11 2020, WHO declared the SARS-CoV-2 infection to be a pandemic, based on the involvement of 169 nations. Specific drugs for SARS-CoV-2 are obviously not available. Currently, drugs originally developed for other viruses or parasites are currently in clinical trials based on empiric data. In the quest of an effective antiviral drug, the most specific target for an RNA virus is the RNA-dependent RNA-polymerase (RdRp) which shows significant differences between positive-sense and negative-sense RNA viruses. An accurate evaluation of RdRps from different viruses may guide the development of new drugs or the repositioning of already approved antiviral drugs as treatment of SARS-CoV-2. This can accelerate the containment of the SARS-CoV-2 pandemic and, hopefully, of future pandemics due to other emerging zoonotic RNA viruses.",2020,,Journal of Translational Medicine,18,1,185-185,,10.1186/s12967-020-02355-3,31887,#175840,Buonaguro 2020,,,175840,06-05-20
Pulmonary intravascular coagulation in COVID-19: possible pathogenesis and recommendations on anticoagulant/thrombolytic therapy,"Belen-Apak, F. Burcu; Sarıalioğlu, F.",,2020,,Journal of Thrombosis and Thrombolysis,,,01-Mar,,10.1007/s11239-020-02129-0,31870,#175842,Belen-Apak 2020,,,175842,06-05-20
The use of PET in COVID 19 cases,"Lee, Joseph C.; Blazak, John K.",,2020,,Journal of Thoracic Oncology,,,,,https://doi.org/10.1016/j.jtho.2020.04.027,32057,#175844,Lee 2020,,,175844,06-05-20
Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor (TKI)-Associated Interstitial Lung Disease During the COVID-19 Pandemic,"Chang, Hsu-Liang; Chen, Yen-Hsu; Yang, Chih-Jen",,2020,,Journal of Thoracic Oncology,,,,,https://doi.org/10.1016/j.jtho.2020.04.029,31906,#175845,Chang 2020,,,175845,06-05-20
COVID-19: Answering the call together,"Howe, John A.",,2020,,Journal of the American Veterinary Medical Association,“Daily Wor,10,1066-1066,,10.2460/javma.256.10.1066,32012,#175849,Howe 2020,,,175849,06-05-20
Pandemic: Psychiatric-Mental Health Nurses Providing Hope in the Midst of Chaos,"Dilks, Sattaria “Tari”",,2020,,Journal of the American Psychiatric Nurses Association,,,1078390320918547-1078390320918547,,10.1177/1078390320918547,31942,#175850,Dilks 2020,,,175850,06-05-20
Covid-19 Imaging Austerity: Coming Back From the Pandemic,"Snow, Aisling; Taylor, George A.",,2020,,Journal of the American College of Radiology,,,,,https://doi.org/10.1016/j.jacr.2020.04.030,32199,#175853,Snow 2020,,,175853,06-05-20
"Communicating About COVID-19: Practices for Today, Planning for Tomorrow","St.Amant, Kirk","In times of public health crises, effective information on how to perform daily activities can be central to the stability of local communities. Technical communicators can make important contributions to these situations by developing materials that meet local informational needs. This entry reviews strategies technical communicators can use to address public health challenges on the local level both today and in the future.",2020,,Journal of Technical Writing and Communication,,,0047281620923589-0047281620923589,,10.1177/0047281620923589,32205,#175855,St 2020,,,175855,06-05-20
COVID19 - moving forward,"WaddingtonU, Gordon",,2020,,Journal of Science and Medicine in Sport,,,,,https://doi.org/10.1016/j.jsams.2020.05.002,32243,#175856,WaddingtonU 2020,,,175856,06-05-20
Sport in the tracks and fields of the corona virus: critical issues during the exit from lockdown,"Timpka, Toomas",,2020,,Journal of Science and Medicine in Sport,,,,,https://doi.org/10.1016/j.jsams.2020.05.001,32229,#175857,Timpka 2020,,,175857,06-05-20
"In the frame, road map for Australian sport on an uncertain journey through COVID-19","Hughes, David",,2020,,Journal of Science and Medicine in Sport,,,,,https://doi.org/10.1016/j.jsams.2020.05.003,32014,#175858,Hughes 2020,,,175858,06-05-20
Risk perceptions of COVID-19 around the world,"Dryhurst, Sarah; Schneider, Claudia R.; Kerr, John; Freeman, Alexandra L. J.; Recchia, Gabriel; van der Bles, Anne Marthe; Spiegelhalter, David; van der Linden, Sander",The World Health Organization has declared the rapid spread of COVID-19 around the world a global public health emergency. It is well-known that the spread of the disease is influenced by people’s ...,2020,,Journal of Risk Research,,,Jan-13,,10.1080/13669877.2020.1758193,31945,#175859,Dryhurst 2020,,,175859,06-05-20
Resilience in the face of uncertainty: early lessons from the COVID-19 pandemic,"Bryce, C.; Ring, P.; Ashby, S.; Wardman, J. K.","The transboundary dynamics of COVID-19 present an unprecedented test of organisational resilience. In the UK, the National Health Service (NHS), a talisman of collective fortitude against disease a...",2020,,Journal of Risk Research,,,01-Aug,,10.1080/13669877.2020.1756379,31884,#175860,Bryce 2020,,,175860,06-05-20
To catch the sparrow that has flown,"Guy, Mary E.","Like a sparrow that has flown, the sense of safety and invincibility that Americans used to enjoy was weakened by 9/11 and eviscerated by the COVID-19 pandemic. Ripple effects from these events dem...",2020,,Journal of Public Affairs Education,,,01-Dec,,10.1080/15236803.2020.1759760,31991,#175863,Guy 2020,,,175863,06-05-20
Caring for Pediatric Patients with Diabetes amidst the COVID-19 Storm,"Cindy, Ho; Beng Hui, Ng Nicholas; Seng, Lee Yung",,2020,,The Journal of Pediatrics,,,,,https://doi.org/10.1016/j.jpeds.2020.04.067,31914,#175864,Cindy 2020,,,175864,06-05-20
COVID-19 – Impact on DNR Orders in the Largest Cancer Center in Jordan,"Shamieh, Omar; Richardson, Kathryn; Abdel-Razeq, Hikmat; Harding, Richard; Sullivan, Richard; Mansour, Asem","The COVID-19 pandemic requires healthcare teams to rethink how they can continue to provide high quality care for all patients, whether they are suffering from a COVID-19 infection or other diseases with clinical uncertainty. Although the number of cases of COVID-19 in Jordan remains relatively low compared to many other countries, our team introduced significant changes to team operations early, with the aim of protecting patients, families and healthcare staff from COVID-19 infections, while preparing to respond to the needs of patients suffering from severe COVID-19 infections. This paper describes the changes made to our ‘Do not resuscitate’ (DNR) policy for the duration of the pandemic.",2020,,Journal of Pain and Symptom Management,,,,,https://doi.org/10.1016/j.jpainsymman.2020.04.023,32185,#175865,Shamieh 2020,,,175865,06-05-20
COVID-19 and paediatric health services: A survey of paediatric physicians in Australia and New Zealand,"Foley, David A.; Kirk, Michael; Jepp, Catherine; Brophy-Williams, Sam; Tong, Steven Y. C.; Davis, Joshua S.; Blyth, Christopher C.; O'Brien, Matthew P.; Bowen, Asha C.; Yeoh, Daniel K.; Study endorsed by, Asid C. R. N.; Anzpid, Group","AIMS: COVID-19 is now a global pandemic. At the time of survey, fewer than 150 children in Australia and New Zealand had documented infection. The aim of this study was to assess attitudes, readiness and confidence in the early stages of the COVID-19 pandemic through an online survey of paediatric physicians and sub-specialists across Australia and New Zealand. METHODS: Multiple email list groups were used to contact paediatric physicians to undertake an online Likert scale survey between 17 and 24 March. Respondents' specialty, experience and work setting were recorded. Ordinal logistic regression was used to determine respondent factors. RESULTS: There were 542 respondents from across Australia and New Zealand: an estimated 11% of the paediatric physician workforce. A minority (36.6%) agreed that their national response had been well coordinated; the majority (92.7%) agreed that senior-level hospital administrators were taking the situation seriously. Most reported a good understanding of the natural history of COVID-19 in children, and knowledge of where to find local information. A large proportion of physicians (86.1%) were worried about becoming infected through their work; few (5.8%) reported that they would not come to work to avoid infection. Closure of school and childcares would reduce the ability to continue work at current capacity for 23.6% of respondents. CONCLUSION: Despite limited experience in pandemics, most paediatric physicians felt informed. Concern about exposure at work is common; most were willing to work regardless. The closure of schools and daycares may have an impact on staffing. Coordination and leadership will be critical.",2020,,Journal of paediatrics and child health,,,,,10.1111/jpc.14903,31964,#175866,Foley 2020,,,175866,06-05-20
Neurosurgical management of brain and spine tumors in the COVID-19 era: an institutional experience from the epicenter of the pandemic,"Kessler, Remi A.; Zimering, Jeffrey; Gilligan, Jeffrey; Rothrock, Robert; McNeill, Ian; Shrivastava, Raj K.; Caridi, John; Bederson, Joshua; Hadjipanayis, Constantinos G.","The challenges of neurosurgical patient management and surgical decision-making during the 2019–2020 COVID-19 worldwide pandemic are immense and never-before-seen in our generation of neurosurgeons. In this case-based formatted report, we present the Mount Sinai Hospital (New York, NY) Department of Neurosurgery institutional experience in the epicenter of the pandemic and the guiding principles for our current management of intracranial, skull base, and spine tumors. The detailed explanations of our surgical reasoning for each tumor case is tailored to assist neurosurgeons across the United States as they face these complex operative decisions put forth by the realities of the pandemic.",2020,,Journal of Neuro-Oncology,,,01-Sep,,10.1007/s11060-020-03523-7,32039,#175869,Kessler 2020,,,175869,06-05-20
Clinical characteristics and outcomes of cancer patients with COVID-19,"Yang, Fan; Shi, Shaobo; Zhu, Jiling; Shi, Jinzhi; Dai, Kai; Chen, Xiaobei","OBJECTIVE: This retrospective study aimed to analysis clinical characteristics and outcomes of cancer patients with novel coronavirus disease-19 (COVID-19). METHOD: Medical records, laboratory results and radiologic findings of 52 cancer patients with COVID-19 were collected, clinical characteristics and outcomes were summarized. RESULTS: A total of 52 cancer patients with COVID-19 were included. Median age of 52 cancer patients with COVID-19 was 63 years (34-98). 33(63.5%) patients were mild and 19(36.5%) were severe/critical. Lung cancer was the most frequent cancer type (10, 19.2%). The common symptoms were as follows: fever (25%), dry cough (17.3%), chest distress (11.5%) and fatigue (9.6%).There were 33(63.5%) patients had comorbidities, the most common symptom was hypertension (17, 51.5%). 26(78.8%) patients developed pneumonia on admission. Lymphocytes (0.6×10(9) /L) decreased in both mild and severe/critical patients. Median levels of D-dimer, C-reactive protein(CRP), procalcitonin (PCT) and lactate dehydrogenase(LDH) were 2.8 mg/L, 70.5 mg/L, 0.3 ng/mL, and 318 U/L respectively, which increased significantly in severe/critical patients compared to the mild patients. Interleukin 6(IL-6) (12.6 pg/ml) increased in both mild and severe/critical patients, there was a significant difference between them. Complications were observed in 29(55.8%) patients, such as liver injury (19, 36.5%), acute respiratory distress syndrome (ARDS) (9, 17.3%), sepsis (8, 15.4%), myocardial injury (8, 15.4%), renal insufficiency (4, 7.7%), and multiple organ dysfunction syndrome (MODS) (3, 5.8%).11(21.2%) cancer patients died. CONCLUSION: The infection rate of severe acute respiratory syndrome coronavirus 2(SARS-COV-2) in cancer patients was higher than the general population, cancer patients with COVID-19 showed deteriorating conditions and poor outcomes. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25972,32270,#175870,Yang 2020,,,175870,06-05-20
Pooling of Nasopharyngeal Swab Specimens for SARS-CoV-2 detection by RT-PCR,"Torres, Ignacio; Albert, Eliseo; Navarro, David","Until an effective vaccine is available, interruption of community circulation of SARS- CoV-2 is crucial to control virus spread. To this end, systematic testing of large population groups by RT-PCR is mandatory to case identification and contact tracing thereby minimizing the likelihood of resurgence in contagion.(1) This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25971,32231,#175871,Torres 2020,,,175871,06-05-20
"Clinical Features of Patients with Coronavirus Disease 2019 (COVID-19) from a Designated Hospital in Beijing, China","Sun, Lijun; Shen, Lijun; Fan, Junfen; Gu, Fengjun; Hu, Mei; An, Yiran; Zhou, Qing; Fan, Huahao; Bi, Jingfeng","Clinical and laboratory data available on patients with coronavirus disease 2019 (COVID-19) in Beijing, China remain extremely limited. Here, we summarized the clinical characteristics of patients with COVID-19 in a designated hospital in Beijing, China. 55 patients with laboratory-confirmed SARS-CoV-2 infection were admitted to Beijing 302 Hospital and enrolled in this study. Demographic data, symptoms, comorbidities, laboratory values, treatments, and clinical outcomes were all collected and retrospectively analyzed. 15 (27.3%) of the patients had non-severe symptom, the mean age was 44.0 years (interquartile range 34.0-56.0), and median incubation period was 7.5 days (interquartile range 5.0-11.8). 26 (47.3%) patients had exposure history in Wuhan while 20 (36.4%) were associated with familial clusters. 18 (32.7%) had underlying comorbidities including hypertension. The most common symptoms of illness were fever (45, 81.8%), 51 (92.7%) patients had abnormal findings on chest CT. Laboratory findings showed that neutrophil count, percentage of lymphocyte, percentage of eosinophil, eosinophil count, erythrocyte sedimentation rate, albumin, and serum ferritin are potential risk factors for patients with poor prognosis. 26 patients (47.3%) were still hospitalized while 29 (52.7%) had been discharged at this point. Compared with patients in Wuhan, the symptoms of patients in Beijing are relatively mild. Older age, more comorbidities, and more abnormal prominent laboratory markers were associated with severe condition. On the basis of antiviral drugs, antibiotics treatment, appropriate dosage of corticosteroid and gamma globulin therapy significantly improve patients' outcomes. Early identification and timely medical treatment are important to reduce the severity of patients with COVID-19. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25966,32211,#175872,Sun 2020,,,175872,06-05-20
"Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China","Qiu, Chengfeng; Deng, Ziwei; Xiao, Qian; Shu, Yuanlu; Deng, Ye; Wang, Hongqiang; Liao, Xin; Liu, Huiwen; Zhou, Dinghui; Zhao, Xiang; Zhou, Jianliang; Wang, Jin; Shi, Zhihua; Long, Da","OBJECTIVE: Cases with coronavirus disease 2019 (COVID-19) emigrated from Wuhan escalated the risk of spreading in other cities. This report focused on the outside-Wuhan patients to assess the transmission and clinical characteristics of this illness. METHODS: Contact investigation was conducted on each patient who admitted to the assigned hospitals in Hunan Province (geographically adjacent to Wuhan) from Jan 22, 2020 to Feb 23, 2020. Patients were confirmed by PCR test. Demographic, clinical and outcomes were collected and analyzed. RESULTS: Of the 104 patients, 48 (46.15%) were imported cases who were immigrated from Wuhan; 93 (89.42%) had a definite contact history with infections. Family clusters were the major body of patients. Transmission along the chain of 3 ""generations"" was observed. Five asymptomatic infections were found and 2 of them infected their relatives. Mean age was 43 (rang, 8-84) years and 49 (47.12%) were male. The median incubation period was 6 (rang, 1-32) days, of 8 patients ranged from 18 to 32 days, 96 (92.31%) discharged and 1 (0.96%) died. Average hospital stay was 10 (rang, 8-14) days. CONCLUSIONS: Family but not community transmission occupied the main body of infections in the two centers, suggesting the timely control measures after the Wuhan shutdown wok well. Asymptomatic transmission demonstrated here warned us that it may bring more risk to the spread of COVID-19. A 14-day quarantine may need to be prolonged. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25975,32151,#175873,Qiu 2020,,,175873,06-05-20
The management of coronavirus disease 2019 (COVID-19),"Liu, Jialin; Liu, Siru","In December 2019, a novel coronavirus causing severe acute respiratory disease occurred in Wuhan, China. It is an emerging infectious disease with widespread and rapid infectiousness. The World Health Organization (WHO) declared the coronavirus outbreak to be a public health emergency of international concern on January 31, 2020. Severe COVID-19 patients should be managed and treated in a critical care unit. Performing a Chest X-ray/CT can judge the severity of the disease. The management of COVID-19 patients includes epidemiological risk and patient isolation; treatment entails general supportive care, respiratory support, symptomatic treatment, nutritional support, psychological intervention, etc. The prognosis of the patients depends upon the severity of the disease, the patient's age, the underlying diseases of the patients, and the patient's overall medical condition. The management of COVID-19 should focus on early diagnosis, immediate isolation, general and optimized supportive care, and infection prevention and control. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25965,32078,#175874,Liu 2020,,,175874,06-05-20
"Hepatic involvement in COVID-19 patients: pathology, pathogenesis and clinical implications [Review]","Li, Yueying; Xiao, Shu-Yuan","During the clinical course of COVID-19, it has been observed that hepatic injury occurs in a significant proportion of patients, particularly in those with severe or critical illness. Mild increase in sinusoidal lymphocytic infiltration and multifocal hepatic necrosis are the main pathologic changes. Direct viral induced cellular injuries and potential hepatotoxicity from therapeutic drugs are two likely underlying mechanisms. In addition, preexisting chronic liver disease exacerbated during COVID-19, and COVID-19-related hyper-inflammatory reactions may contribute to liver injury as well. Further studies of additional autopsy cases will help clarifying these possibilities. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25973,32066,#175875,Li 2020,,,175875,06-05-20
Individualized prediction nomograms for disease progression in mild COVID-19,"Huang, Jiaofeng; Cheng, Aiguo; Lin, Su; Zhu, Yueyong; Chen, Gongping","BACKGROUND: The coronavirus disease 2019 (COVID-19) has evolved into a pandemic rapidly. The majority of COVID-19 patients are with mild syndromes. This study aimed to develop models for predicting disease progression in mild cases. METHODS: The risk factors for the requirement of oxygen support in mild COVID-19 were explored using multivariate logistic regression. Nomogram as visualization of the models was developed using R software. RESULTS: A total of 344 patients with mild COVID-19 were included in the final analysis, 45 of whom progressed and needed high-flow oxygen therapy or mechanical ventilation after admission. There were 188 (54.7%) males, and the average age of the cohort was 52.9 ± 16.8 years. When the laboratory data were not included in multivariate analysis, diabetes, coronary heart disease, T >=38.5℃ and sputum were independent risk factors of progressive COVID-19 (Model 1). When the blood routine test was included the CHD, T >=38.5℃ and NLR were found to be independent predictors (Model 2). The AUROC of model 2 was larger than model 1 (0.872 vs. 0.849, P =0.023). The negative predictive value of both models was greater than 96%, indicating they could serve as simple tools for ruling out the possibility of disease progression. CONCLUSIONS: In conclusion, two models comprised common symptoms (fever and sputum), underlying diseases (diabetes and coronary heart disease) and blood routine test are developed for predicting the future requirement of oxygen support in mild COVID-19 cases. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25969,32013,#175876,Huang 2020,,,175876,06-05-20
Smoking links to the severity of Covid-19: An update of a meta-analysis,"Guo, Fei Ran","The paper entitled ""The impact of COPD and smoking history on the severity of Covid-19: A systemic review and meta-analysis."" published in Journal of Medical Virology on 15 April, 20201. The results revealed the pooled OR of COPD and the development of severe Covid-19 was 4.38 (Fixed effect model, 95% CI: 2.34-8.20), while the OR of ongoing smoking was 1.98 (Fixed effect model, 95% CI: 1.29-3.05). This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25967,31989,#175877,Guo 2020,,,175877,06-05-20
Letter to the Editor: Three cases of re-detectable positive SARS-CoV-2 RNA in recovered COVID-19 patients with antibodies,"Fu, Wei; Chen, Qian; Wang, Tao","The number of hospitalized cases has declined significantly in Wuhan. However, there have been reports that several cases of re-detectable positive SARS-CoV-2 RNA in recovered COVID-19 patients, the potential reasons of re-detectable positive patients remained elusive. Here, we report three confirmed cases of COVID-19 whose IgM was negative and IgG was positive before the first discharge, while nasopharyngeal swab test of SARS-CoV-2 RNA turned positive again during hotel isolation. In addition, all three cases presented negative results for IgM antibodies and positive results for IgG antibodies during re-admission period. These cases suggested that the reasons for re-detectable positive patients with profile of antibodies may be related to several factors. It is necessary to quarantine COVID-19 patients for 14 days after discharge, and the role of antibodies in anti-SARS-CoV-2 warrants further investigation. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25968,31969,#175878,Fu 2020,,,175878,06-05-20
What could be the better choice between ACE inhibitors and AT1R antagonists in coronavirus disease 2019 (COVID-19) patients?,"Froldi, Guglielmina","Angiotensin-converting enzyme 2 (ACE2) removes a single residue from Ang I to yield Ang (1-9) and cleaves a single residue from Ang II to generate Ang (1-7). Thus ACE2 counterbalances ACE function decreasing Ang II levels(1) . Consequently, this enzyme has a protective role against excessively high blood pressure values and high level of renin-angiotensin system (RAS) activation(2) . This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25974,31968,#175879,Froldi 2020,,,175879,06-05-20
Tocilizumab for the Treatment of Severe COVID-19,"Alattar, Rand; Ibrahim, Tawheeda B. H.; Shaar, Shahd H.; Abdalla, Shiema; Shukri, Kinda; Daghfal, Joanne N.; Khatib, Mohamed Y.; Aboukamar, Mohamed; Abukhattab, Mohamed; Alsoub, Hussam A.; Almaslamani, Muna A.; Omrani, Ali S.","INTRODUCTION: Tocilizumab, an nterleukin-6 inhibitor, may ameliorate the inflammatory manifestations associated with severe COVID-19 and thus improve clinical outcomes. METHODS: Retrospective review of patients with laboratory-confirmed severe COVID-19 who received tocilizumab and completed 14 days of follow up. RESULTS: Twenty-five patients were included, median age was 58 years (IQR 50-63) and the majority were males (92%). Co-morbidities included diabetes mellitus (48%), chronic kidney disease (16%) and cardiovascular disease (12%). Fever (92%), cough (84%) and dyspnoea (72%) were the commonest presenting symptoms. All patients received at least two concomitant investigational antiviral agents. Median oral temperature was on Day 1, Day 3 and Day 7 was 38.0oC, 37.3oC (P 0.043) and 37.0oC (P 0.064), respectively. Corresponding median CRP was 193 mg/L, 7.9 mg/L (P <0.0001) and <6 mg/L (P 0.0001). Radiological improvement was noted in 44% of patients by Day 7 and 68% by Day 14. Nine patients (36%) were discharged alive from ICU and three (12%) died. The proportion of patients on invasive ventilation declined from (84%) at the time of tocilizumab initiation to 60% on Day 7 (P 0.031) and 28% on Day 14 (P 0.001). The majority (92%) of patients experienced at least one adverse event. However, it is not possible to ascertain which adverse events were directly related to tocilizumab therapy. CONCLUSION: In patients with severe COVID-19, tocilizumab was associated with dramatic decline in inflammatory markers, radiological improvement and reduced ventilatory support requirements. Given the study's limitations, the results require assessment in adequately powered randomized controlled trials. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,“Daily Wor,,,,10.1002/jmv.25964,31847,#175880,Alattar 2020,,,175880,06-05-20
Conversations and Medical News Frames on Twitter: Infodemiological Study on COVID-19 in South Korea,"Park, Han Woo; Park, Sejung; Chong, Miyoung","BACKGROUND: SARS-CoV-2 (severe acute respiratory coronavirus 2) was spreading rapidly in South Korea at the end of February 2020 following its initial outbreak in China, making Korea the new center of global attention. The role of social media amid the current coronavirus disease (COVID-19) pandemic has often been criticized, but little systematic research has been conducted on this issue. Social media functions as a convenient source of information in pandemic situations. OBJECTIVE: Few infodemiology studies have applied network analysis in conjunction with content analysis. This study investigates information transmission networks and news-sharing behaviors regarding COVID-19 on Twitter in Korea. The real time aggregation of social media data can serve as a starting point for designing strategic messages for health campaigns and establishing an effective communication system during this outbreak. METHODS: Korean COVID-19-related Twitter data were collected on February 29, 2020. Our final sample comprised of 43,832 users and 78,233 relationships on Twitter. We generated four networks in terms of key issues regarding COVID-19 in Korea. This study comparatively investigates how COVID-19-related issues have circulated on Twitter through network analysis. Next, we classified top news channels shared via tweets. Lastly, we conducted a content analysis of news frames used in the top-shared sources. RESULTS: The network analysis suggests that the spread of information was faster in the Coronavirus network than in the other networks (Corona19, Shincheon, and Daegu). People who used the word ""Coronavirus"" communicated more frequently with each other. The spread of information was faster, and the diameter value was lower than for those who used other terms. Many of the news items highlighted the positive roles being played by individuals and groups, directing readers' attention to the crisis. Ethical issues such as deviant behavior among the population and an entertainment frame highlighting celebrity donations also emerged often. There was a significant difference in the use of nonportal (n=14) and portal news (n=26) sites between the four network types. The news frames used in the top sources were similar across the networks (P=.89, 95% CI 0.004-0.006). Tweets containing medically framed news articles (mean 7.571, SD 1.988) were found to be more popular than tweets that included news articles adopting nonmedical frames (mean 5.060, SD 2.904; N=40, P=.03, 95% CI 0.169-4.852). CONCLUSIONS: Most of the popular news on Twitter had nonmedical frames. Nevertheless, the spillover effect of the news articles that delivered medical information about COVID-19 was greater than that of news with nonmedical frames. Social media network analytics cannot replace the work of public health officials; however, monitoring public conversations and media news that propagates rapidly can assist public health professionals in their complex and fast-paced decision-making processes.",2020,,Journal of medical Internet research,“Daily Wor,5,e18897-e18897,,10.2196/18897,32133,#175882,Park 2020,,,175882,06-05-20
Philippine Teachers’ Practices to Deal with Anxiety amid COVID-19,"Talidong, Karen Joy B.; Toquero, Cathy Mae D.","School closures, home quarantine, and social distancing implemented worldwide can cause a sudden anxiety even among teachers. A designed online survey collected data from Filipino teachers’ practic...",2020,,Journal of Loss and Trauma,,,01-Jul,,10.1080/15325024.2020.1759225,32213,#175884,Talidong 2020,,,175884,06-05-20
Ophthalmic manifestations of novel coronaviruses: precautionary measures and diagnostic possibilities,"Konjevoda, Suzana; Canovic, Samir; Pastar, Zrinjka; Tabain, Irena; Savic, Vladimir; Barbic, Ljubo; Dzelalija, Boris; Vukojevic, Katarina; Stevanovic, Vladimir; Mardesic, Snjezana; Kosovic, Ivona; Vilibic-Cavlek, Tatjana",,2020,,Journal of global health,“Daily Wor,1,10430-10430,,10.7189/jogh.10.010340,32043,#175890,Konjevoda 2020,,,175890,06-05-20
COVID 19 and real estate: a major challenge,"Taltavull, Paloma",,2020,,Journal of European Real Estate Research,13,1,01-Mar,,10.1108/jerer-05-2020-055,32214,#175894,Taltavull 2020,,,175894,06-05-20
Covid-19 and EU Competition Law: Bring the Informal Guidance On,"De Stefano, Gianni",,2020,,Journal of European Competition Law & Practice,,,,,10.1093/jeclap/lpaa024,31937,#175895,DeStefano 2020,,,175895,06-05-20
"An Environmental and Health Perspective for COVID-19 Outbreak: Meteorology and Air Quality Influence, Sewage Epidemiology Indicator, Hospitals Disinfection, Drug Therapies and Recommendations","Barcelo, Damia","This Opinion Paper wishes to provide a summary of recent findings and solutions for a better understanding of the environmental and health problems associated with COVID-19. The list of topics covered is large: meteorology and air quality factors with correlation number of infections, sewage waters as a way to reveal the scale of COVID-19 outbreak, current hospital disinfection procedures and new eco-friendly technologies and list of drug therapies recommend waiting for the desired vaccine to come. During the last two months we did notice an increase in the scientific literature regarding COVID-19 with a partial vision of this problem. The current Opinion Paper is one of the first attempts, to my understanding, to summarize and integrate environmental and human health aspects related to the monitoring, fate and treatment solutions for COVID-19. That being said I believe that this Opinion Paper can serve as multipurpose document, not only for scientists of different disciplines but for social media and citizens in general.",2020,,Journal of Environmental Chemical Engineering,,,104006-104006,,https://doi.org/10.1016/j.jece.2020.104006,31863,#175897,Barcelo 2020,,,175897,06-05-20
Inpatient Teledermatology During the COVID-19 Pandemic,"Rismiller, Kyle; Cartron, Alexander M.; Trinidad, John C. L.",,2020,,Journal of Dermatological Treatment,,,01-Sep,,10.1080/09546634.2020.1762843,32162,#175898,Rismiller 2020,,,175898,06-05-20
Evaluation of two automated and three rapid lateral flow immunoassays for the detection of anti-SARS-CoV-2 antibodies,"Isabel, Montesinos; Damien, Gruson; Benoit, Kabamba; Hafid, Dahma; Sigi, Van den Wijngaert; Soleimani, Reza; Vincenzo, Carbone; Olivier, Vandenberg; Beatrice, Gulbis; Fleur, Wolff; Hector, Rodriguez-Villalobos","Introduction Several SARS-CoV-2 immunoassays have been developed recently. The purpose of this study was to assess the performance of five immunoassays for the detection of SARS-CoV-2 antibodies. Methods Two quantitative automated immunoassays (MaglumiTM 2019-n-Cov IgG and IgM and Euroimmun Anti-SARS-CoV-2 IgG and IgA assays) and three lateral flow rapid tests were performed. This retrospective study included 200 residual sera from patients and healthy volunteers. Case serum samples (n = 128) were obtained from COVID-19 patients confirmed by RT-qPCR and CT-scan. Days since onset of symptoms was collected from their medical records. Control non-SARS-CoV-2 samples (n = 72) were obtained from anonymous stored residual serum samples. Results MaglumiTM IgG/IgM tests showed overall less sensitivity than Euroimmun IgG/IgA test (84.4% versus 64.3%). Both tests showed similar specificities of IgG at 99% and 100%, respectively. The two tests showed similar specificity for IgG at 99% and 100%, respectively. The results from the lateral flow assays were easily interpretable with unambiguous coloured reading bands. The overall sensitivity of the three tests was similar (around 70%) without any significant differences. The sensitivity of the three lateral flow assays and also of the serological quantitative assays increased during the second week after symptom onset and all reached similar values (91% to 94%) after 14 days. Conclusion This study shows accurate and equivalent performance of the five serological antibody assays (ELISA, CLIA and three lateral flow tests) in detecting SARS-CoV-2 antibodies 14 days after the onset of COVID-19 symptoms. This is compatible with their application in specific clinical contexts and in determining epidemiological strategies for the COVID-19 pandemic.",2020,,Journal of Clinical Virology,,,104413-104413,,https://doi.org/10.1016/j.jcv.2020.104413,32019,#175902,Isabel 2020,,,175902,06-05-20
Case fatality rate in patients with COVID-19 infection and its relationship with length of follow up,"Giorgi Rossi, Paolo; Broccoli, Serena; Angelini, Paola",,2020,,Journal of Clinical Virology,,,104415-104415,,https://doi.org/10.1016/j.jcv.2020.104415,31980,#175903,GiorgiRossi 2020,,,175903,06-05-20
